Time,StepDist,GPS_X,GPS_Y,Odo_X,Odo_Y,Est_X,Est_Y,rk2_Est_X,rk2_Est_Y,Theta
0.032,0,-0.62775,-0.858942,-0.69851,-0.731369,-0.697095,-0.73392,-0.697095,-0.73392,1.55224
0.048,0.00096555,-0.579603,-0.727104,-0.69853,-0.730404,-0.694765,-0.732838,-0.694746,-0.732838,1.59219
0.064,0.00109429,-0.620318,-0.700249,-0.698594,-0.729311,-0.693339,-0.731116,-0.693319,-0.731115,1.62916
0.08,0.00122303,-0.673488,-0.722756,-0.698699,-0.728093,-0.693044,-0.729754,-0.693028,-0.729753,1.65663
0.096,0.00160925,-0.64239,-0.731611,-0.698866,-0.726492,-0.692195,-0.728223,-0.692181,-0.728221,1.67504
0.112,0.00173799,-0.706713,-0.774759,-0.699066,-0.724766,-0.692681,-0.727462,-0.692672,-0.727461,1.68591
0.128,0.0019311,-0.598103,-0.790346,-0.699299,-0.722849,-0.691018,-0.726841,-0.691013,-0.72684,1.69193
0.144,0.00186673,-0.701453,-0.77176,-0.699522,-0.720995,-0.691445,-0.725923,-0.691447,-0.725923,1.69014
0.16,0.0019311,-0.629594,-0.810958,-0.699748,-0.719077,-0.690429,-0.725744,-0.690431,-0.725744,1.68818
0.176,0.00186673,-0.617828,-0.715065,-0.699963,-0.717223,-0.689188,-0.723713,-0.68919,-0.723713,1.68615
0.192,0.0019311,-0.604216,-0.822817,-0.700178,-0.715304,-0.687699,-0.723815,-0.687703,-0.723815,1.68229
0.208,0.00186673,-0.637597,-0.815826,-0.700381,-0.713448,-0.686897,-0.723836,-0.686899,-0.723837,1.6802
0.224,0.0019311,-0.659913,-0.776069,-0.700588,-0.711528,-0.68656,-0.722999,-0.686562,-0.723,1.6781
0.24,0.0019311,-0.772634,-0.749054,-0.700791,-0.709608,-0.68848,-0.721638,-0.688482,-0.721639,1.67601
0.256,0.00186673,-0.590359,-0.711768,-0.700983,-0.707751,-0.686706,-0.719621,-0.686708,-0.719622,1.67394
0.272,0.0019311,-0.622125,-0.686753,-0.701178,-0.70583,-0.685605,-0.717081,-0.685607,-0.717081,1.67189
0.288,0.00186673,-0.637993,-0.857235,-0.701363,-0.703972,-0.684834,-0.718064,-0.684836,-0.718064,1.66985
0.304,0.00186673,-0.61089,-0.805177,-0.701544,-0.702114,-0.683532,-0.717985,-0.683534,-0.717986,1.66785
0.32,0.0019311,-0.62008,-0.77294,-0.701727,-0.700192,-0.682443,-0.717201,-0.682445,-0.717201,1.66587
0.336,0.0019311,-0.637293,-0.962461,-0.701907,-0.698269,-0.681716,-0.720221,-0.681718,-0.720222,1.66392
0.352,0.0019311,-0.529672,-0.727494,-0.702082,-0.696346,-0.678847,-0.718482,-0.678849,-0.718482,1.66198
0.368,0.00186673,-0.697752,-0.732381,-0.702249,-0.694487,-0.679389,-0.716938,-0.67939,-0.716938,1.66015
0.384,0.00186673,-0.645951,-0.70569,-0.702412,-0.692627,-0.67888,-0.714891,-0.678882,-0.714891,1.65831
0.4,0.0019311,-0.664744,-0.830171,-0.702574,-0.690703,-0.678756,-0.715311,-0.678759,-0.715311,1.65469
0.416,0.0019311,-0.584309,-0.781836,-0.702732,-0.688778,-0.677022,-0.714755,-0.677024,-0.714755,1.65281
0.432,0.00186673,-0.587194,-0.825592,-0.702882,-0.686918,-0.675372,-0.715148,-0.675374,-0.715148,1.65098
0.448,0.00186673,-0.566016,-0.735591,-0.703028,-0.685057,-0.673328,-0.713733,-0.67333,-0.713733,1.64915
0.464,0.0019311,-0.502369,-0.797408,-0.703175,-0.683131,-0.670053,-0.71352,-0.670055,-0.71352,1.64733
0.48,0.0019311,-0.605739,-0.759076,-0.70332,-0.681206,-0.668908,-0.712544,-0.66891,-0.712544,1.64551
0.496,0.00186673,-0.698507,-0.809947,-0.703459,-0.679344,-0.669637,-0.712668,-0.669637,-0.712668,1.64552
0.512,0.00186673,-0.59551,-0.7752,-0.703595,-0.677482,-0.668288,-0.712094,-0.668289,-0.712094,1.64372
0.528,0.0019311,-0.599405,-0.75155,-0.703732,-0.675556,-0.667045,-0.710995,-0.667046,-0.710995,1.64193
0.544,0.0019311,-0.67597,-0.763859,-0.703866,-0.67363,-0.667354,-0.710164,-0.667356,-0.710165,1.64013
0.56,0.00186673,-0.581163,-0.754728,-0.703992,-0.671767,-0.665754,-0.70923,-0.665755,-0.709231,1.63834
0.576,0.0019311,-0.615972,-0.792336,-0.704119,-0.66984,-0.664883,-0.709004,-0.664884,-0.709004,1.63654
0.592,0.00186673,-0.611018,-0.717357,-0.704238,-0.667977,-0.663922,-0.707346,-0.663924,-0.707346,1.63474
0.608,0.0019311,-0.542427,-0.769996,-0.704361,-0.66605,-0.661613,-0.70671,-0.661613,-0.70671,1.63475
0.624,0.00186673,-0.547694,-0.852811,-0.704477,-0.664187,-0.659448,-0.707806,-0.65945,-0.707806,1.63295
0.64,0.00186673,-0.561211,-0.712374,-0.70459,-0.662324,-0.657594,-0.706071,-0.657596,-0.706072,1.63116
0.656,0.0019311,-0.502052,-0.676971,-0.704707,-0.660396,-0.654597,-0.7036,-0.654597,-0.7036,1.63117
0.672,0.00186673,-0.636849,-0.835472,-0.704816,-0.658533,-0.65435,-0.704412,-0.654351,-0.704412,1.62938
0.688,0.00199547,-0.565621,-0.830293,-0.704929,-0.65654,-0.652686,-0.704977,-0.652688,-0.704977,1.62758
0.704,0.00186673,-0.586872,-0.743034,-0.705032,-0.654676,-0.65147,-0.703911,-0.651472,-0.703911,1.62579
0.72,0.0019311,-0.586848,-0.735877,-0.705138,-0.652748,-0.650282,-0.702661,-0.650282,-0.702661,1.6258
0.736,0.00186673,-0.564322,-0.853186,-0.705237,-0.650884,-0.64866,-0.703845,-0.648662,-0.703845,1.624
0.752,0.00186673,-0.613649,-0.842992,-0.705336,-0.64902,-0.648057,-0.704801,-0.648057,-0.704801,1.62401
0.768,0.0019311,-0.530797,-0.765198,-0.705436,-0.647091,-0.645809,-0.704119,-0.645811,-0.704119,1.62221
0.784,0.0019311,-0.553588,-0.751,-0.705531,-0.645163,-0.644059,-0.703166,-0.64406,-0.703166,1.62042
0.8,0.0019311,-0.53277,-0.88089,-0.705627,-0.643234,-0.641927,-0.704831,-0.641927,-0.704831,1.62043
0.816,0.00186673,-0.573816,-0.814866,-0.705717,-0.641369,-0.640652,-0.705204,-0.640654,-0.705204,1.61863
0.832,0.0019311,-0.563682,-0.79802,-0.705809,-0.639441,-0.639203,-0.70517,-0.639203,-0.70517,1.61864
0.848,0.00186673,-0.575433,-0.73447,-0.705895,-0.637576,-0.638012,-0.703929,-0.638013,-0.703929,1.61684
0.864,0.00186673,-0.502729,-0.764538,-0.705981,-0.635711,-0.63539,-0.703313,-0.63539,-0.703313,1.61685
0.88,0.0019311,-0.615413,-0.852204,-0.706066,-0.633782,-0.635075,-0.7044,-0.635076,-0.704401,1.61505
0.896,0.00186673,-0.68779,-0.81917,-0.706149,-0.631917,-0.63621,-0.704868,-0.63621,-0.704868,1.61506
0.912,0.0019311,-0.541126,-0.831131,-0.706234,-0.629988,-0.634392,-0.705503,-0.634392,-0.705503,1.61507
0.928,0.00186673,-0.544653,-0.784159,-0.706314,-0.628123,-0.632675,-0.705248,-0.632676,-0.705248,1.61327
0.944,0.0019311,-0.562041,-0.752525,-0.706396,-0.626193,-0.631343,-0.704303,-0.631343,-0.704303,1.61328
0.96,0.00186673,-0.486247,-0.848682,-0.706471,-0.624328,-0.628515,-0.705363,-0.628517,-0.705363,1.61148
0.976,0.0019311,-0.558208,-0.733445,-0.70655,-0.622399,-0.627186,-0.704033,-0.627186,-0.704033,1.61149
0.992,0.0019311,-0.473287,-0.730026,-0.706629,-0.620469,-0.624185,-0.702662,-0.624185,-0.702662,1.6115
1.008,0.00186673,-0.458149,-0.752423,-0.706701,-0.618604,-0.620935,-0.70183,-0.620937,-0.70183,1.6097
1.024,0.0019311,-0.584801,-0.838286,-0.706776,-0.616674,-0.620286,-0.702668,-0.620286,-0.702668,1.60971
1.04,0.0019311,-0.623188,-0.710144,-0.706851,-0.614745,-0.620418,-0.700926,-0.620418,-0.700926,1.60971
1.056,0.00186673,-0.438367,-0.790743,-0.706921,-0.612879,-0.616845,-0.700894,-0.616846,-0.700894,1.60791
1.072,0.00186673,-0.459906,-0.780506,-0.70699,-0.611014,-0.613774,-0.700658,-0.613774,-0.700658,1.60792
1.088,0.0019311,-0.53115,-0.733337,-0.707062,-0.609084,-0.612192,-0.699421,-0.612192,-0.699421,1.60792
1.104,0.00186673,-0.558107,-0.737472,-0.707128,-0.607218,-0.611175,-0.698354,-0.611176,-0.698354,1.60612
1.12,0.0019311,-0.464081,-0.720009,-0.707196,-0.605288,-0.6083,-0.696895,-0.6083,-0.696895,1.60613
1.136,0.00186673,-0.491886,-0.794086,-0.707258,-0.603423,-0.606033,-0.697011,-0.606034,-0.697011,1.60433
1.152,0.0019311,-0.494041,-0.818687,-0.707323,-0.601493,-0.603856,-0.697553,-0.603856,-0.697553,1.60433
1.168,0.0019311,-0.53379,-0.742739,-0.707388,-0.599563,-0.602518,-0.696565,-0.602518,-0.696565,1.60433
1.184,0.00186673,-0.51173,-0.787387,-0.707447,-0.597697,-0.600761,-0.696553,-0.600762,-0.696553,1.60253
1.2,0.0019311,-0.49385,-0.871902,-0.707508,-0.595767,-0.598682,-0.698169,-0.598682,-0.698169,1.60254
1.216,0.00186673,-0.578572,-0.816108,-0.707564,-0.593901,-0.598335,-0.698699,-0.598337,-0.698699,1.60073
1.232,0.0019311,-0.518108,-0.745892,-0.707622,-0.591971,-0.596787,-0.697751,-0.596787,-0.697751,1.60074
1.248,0.00186673,-0.348129,-0.775428,-0.707678,-0.590105,-0.591869,-0.697476,-0.591869,-0.697476,1.60074
1.264,0.0019311,-0.492621,-0.685963,-0.707732,-0.588174,-0.589937,-0.695354,-0.589939,-0.695354,1.59894
1.28,0.00186673,-0.38398,-0.703334,-0.707785,-0.586308,-0.585869,-0.693685,-0.585869,-0.693685,1.59895
1.296,0.00186673,-0.458133,-0.759351,-0.707837,-0.584442,-0.583366,-0.69317,-0.583366,-0.69317,1.59895
1.312,0.0019311,-0.465177,-0.814777,-0.707888,-0.582512,-0.581052,-0.69371,-0.581054,-0.69371,1.59715
1.328,0.0019311,-0.491305,-0.771205,-0.707939,-0.580582,-0.579307,-0.693368,-0.579307,-0.693368,1.59716
1.344,0.00186673,-0.545033,-0.812407,-0.707985,-0.578715,-0.578667,-0.69392,-0.578668,-0.69392,1.59535
1.36,0.0019311,-0.473959,-0.881383,-0.708033,-0.576785,-0.576619,-0.695777,-0.576619,-0.695777,1.59536
1.376,0.00186673,-0.425207,-0.871732,-0.708075,-0.574919,-0.573632,-0.697468,-0.573634,-0.697468,1.59356
1.392,0.0019311,-0.465687,-0.771655,-0.708119,-0.572988,-0.571517,-0.697059,-0.571517,-0.697059,1.59356
1.408,0.00186673,-0.438029,-0.717588,-0.708158,-0.571122,-0.568885,-0.695641,-0.568887,-0.695641,1.59176
1.424,0.0019311,-0.477063,-0.812923,-0.708199,-0.569191,-0.567088,-0.696094,-0.567088,-0.696094,1.59177
