Time,GPS_X,GPS_Y,Est_X,Est_Y,Theta
0.064,0.001988,-0.907145,0.780609,-0.935751,-3.67801e-06
0.128,0.0727472,-1.03426,0.767335,-0.937721,-3.68704e-06
0.192,0.121009,-0.902373,0.754345,-0.937013,-0.0141118
0.256,0.0790374,-0.875963,0.740839,-0.935792,-0.0282219
0.32,0.0245989,-0.898777,0.726514,-0.935052,-0.0423321
0.384,0.0542977,-0.907756,0.71307,-0.934506,-0.0564426
0.448,-0.0116267,-0.950783,0.698639,-0.934836,-0.070553
0.512,0.0952545,-0.966141,0.686508,-0.935457,-0.0846633
0.576,-0.00982715,-0.947224,0.672582,-0.935692,-0.0987738
0.64,0.0602932,-0.986095,0.660336,-0.9367,-0.112885
0.704,0.0703168,-0.889894,0.648536,-0.935764,-0.126996
0.768,0.0821886,-0.997363,0.637271,-0.937005,-0.141107
0.832,0.0470667,-0.990151,0.625405,-0.938058,-0.155217
0.896,0.0230119,-0.9502,0.613357,-0.938301,-0.169328
0.96,-0.0914459,-0.923003,0.599261,-0.937995,-0.183439
1.024,0.0890912,-0.885533,0.589057,-0.936946,-0.197551
1.088,0.0555841,-0.860318,0.57845,-0.935426,-0.211665
1.152,0.0380096,-1.03057,0.567579,-0.937315,-0.225781
1.216,0.0633991,-0.978254,0.557496,-0.938134,-0.239898
1.28,0.0524888,-0.945734,0.547396,-0.938286,-0.254015
1.344,0.0335511,-1.13496,0.537119,-0.942219,-0.268133
1.408,0.139448,-0.899713,0.529226,-0.941387,-0.282252
1.472,-0.0303516,-0.904336,0.517974,-0.940627,-0.296371
1.536,0.0197376,-0.87741,0.508009,-0.939363,-0.310489
1.6,-0.000754565,-1.00167,0.497834,-0.940609,-0.324607
1.664,0.0779887,-0.953168,0.489437,-0.940861,-0.338725
1.728,0.0734178,-0.99677,0.481176,-0.942,-0.352843
1.792,0.0929104,-0.906618,0.473352,-0.94127,-0.366961
1.856,0.154869,-0.968271,0.466982,-0.94181,-0.38108
1.92,0.0497992,-0.929753,0.458638,-0.941569,-0.395198
1.984,-0.0446818,-0.980429,0.448572,-0.942346,-0.409315
2.048,0.0565906,-0.945441,0.44079,-0.942434,-0.423432
2.112,0.0509595,-0.921533,0.432936,-0.941989,-0.437548
2.176,-0.0273477,-0.93358,0.42373,-0.941821,-0.451665
2.24,0.0657173,-0.924195,0.41657,-0.941469,-0.465782
2.304,0.0291725,-0.961571,0.408822,-0.941871,-0.479899
2.368,0.0324006,-0.886386,0.401349,-0.940791,-0.494016
2.432,0.0992767,-0.938866,0.395253,-0.940722,-0.508131
2.496,0.0923057,-1.02152,0.389194,-0.942338,-0.522246
2.56,0.0770907,-0.880943,0.382952,-0.94111,-0.536362
2.624,0.134547,-0.845411,0.377984,-0.939196,-0.550477
2.688,-0.00196368,-1.00375,0.370438,-0.940521,-0.564593
2.752,0.067535,-0.998391,0.364327,-0.941644,-0.578709
2.816,0.0445336,-0.910926,0.357931,-0.941029,-0.592824
2.88,0.0427874,-0.90356,0.351628,-0.94028,-0.606938
2.944,0.0635298,-1.02062,0.345866,-0.941887,-0.621052
3.008,0.0124105,-1.0102,0.339248,-0.943291,-0.635166
3.072,0.093474,-0.93217,0.334282,-0.94303,-0.649281
3.136,0.0689042,-0.917753,0.328975,-0.942524,-0.663396
3.2,0.087958,-1.04747,0.324154,-0.944623,-0.67751
3.264,0.0451655,-0.981272,0.318575,-0.945356,-0.691623
3.328,0.0535656,-0.964291,0.313322,-0.945776,-0.705736
3.392,0.0400883,-0.900596,0.30781,-0.944831,-0.719849
3.456,0.111063,-0.930534,0.303875,-0.944545,-0.733963
3.52,-0.00336287,-1.01804,0.297731,-0.946015,-0.748077
3.584,-0.077502,-0.98484,0.290226,-0.946791,-0.762191
3.648,0.0673783,-0.996614,0.285814,-0.947832,-0.776303
3.712,0.0620485,-0.949416,0.281294,-0.947819,-0.790416
3.776,0.0428435,-0.917566,0.276525,-0.947214,-0.804528
3.84,0.116817,-1.01349,0.273331,-0.948539,-0.818641
3.904,0.0430433,-0.898041,0.268725,-0.947529,-0.832755
3.968,0.126168,-0.89443,0.265916,-0.946514,-0.846868
4.032,0.139533,-0.916636,0.263347,-0.945869,-0.860981
4.096,0.01113,-1.00235,0.258303,-0.946999,-0.875093
4.16,-0.0289891,-0.874064,0.252557,-0.94554,-0.889205
4.224,0.154108,-0.95451,0.250588,-0.945719,-0.903317
4.288,0.130843,-0.944134,0.248232,-0.945738,-0.917431
